customer_id,total_revenue,total_orders,total_items,first_purchase,last_purchase,avg_order_value,recency_days,r_score,f_score,m_score,rfm_score,segment
10000,2.5,1,2,2010-01-26 01:33:00,2010-01-26 01:33:00,2.5,683,1,1,1,3,Lost
10001,142.4,2,27,2010-01-11 04:52:00,2010-02-12 10:48:00,71.2,666,1,1,4,6,At Risk
10002,272.93,4,61,2010-05-12 09:20:00,2011-08-24 15:41:00,68.23,108,3,4,5,12,Loyal Customers
10003,509.46999999999997,4,178,2009-12-04 11:19:00,2011-02-25 10:58:00,127.37,288,2,4,5,11,Loyal Customers
10004,157.49,3,55,2010-09-01 11:51:00,2011-09-06 13:02:00,52.5,95,4,3,4,11,Loyal Customers
10005,111.71,3,33,2009-12-31 15:21:00,2011-12-01 07:44:00,37.24,9,5,3,3,11,Loyal Customers
10007,955.99,4,247,2010-09-08 06:02:00,2011-09-09 13:58:00,239.0,92,4,4,5,13,Champions
10008,179.82999999999998,5,64,2010-04-27 13:31:00,2011-09-16 11:27:00,35.97,85,4,5,4,13,Champions
10009,3.39,1,1,2010-12-24 12:44:00,2010-12-24 12:44:00,3.39,351,2,1,1,4,Lost
10010,214.37,3,39,2010-12-15 11:56:00,2011-11-18 08:49:00,71.46,22,5,3,4,12,Loyal Customers
10011,97.61,3,41,2010-07-01 08:07:00,2011-11-28 06:04:00,32.54,12,5,3,3,11,Loyal Customers
10012,226.27,3,88,2011-04-26 08:12:00,2011-10-07 16:45:00,75.42,63,4,3,4,11,Loyal Customers
10013,128.25,4,71,2009-12-04 10:33:00,2011-04-05 09:58:00,32.06,249,2,4,3,9,Potential Loyalists
10015,215.33999999999997,2,21,2011-09-08 17:23:00,2011-10-06 05:16:00,107.67,65,4,1,4,9,Potential Loyalists
10016,30.439999999999998,4,14,2010-03-19 09:38:00,2011-07-04 13:26:00,7.61,159,3,4,1,8,Potential Loyalists
10017,102.95,1,27,2010-06-28 12:30:00,2010-06-28 12:30:00,102.95,530,1,1,3,5,At Risk
10018,78.03999999999999,5,38,2010-06-29 12:27:00,2010-11-19 11:24:00,15.61,386,1,5,2,8,Potential Loyalists
10019,0.55,1,1,2011-03-28 16:05:00,2011-03-28 16:05:00,0.55,257,2,1,1,4,Lost
10020,57.94,2,21,2010-11-08 11:46:00,2011-05-17 14:55:00,28.97,207,2,1,2,5,At Risk
10021,665.9399999999999,5,179,2009-12-09 09:18:00,2011-04-22 16:34:00,133.19,231,2,5,5,12,Loyal Customers
10022,402.28,3,147,2010-10-05 10:26:00,2011-10-05 09:07:00,134.09,66,4,3,5,12,Loyal Customers
10023,102.84,3,34,2010-07-01 11:41:00,2011-08-19 09:49:00,34.28,113,3,3,3,9,Potential Loyalists
10024,167.4,5,56,2011-03-15 09:56:00,2011-11-25 14:47:00,33.48,15,5,5,4,14,Champions
10025,21.75,3,13,2010-07-13 10:57:00,2011-11-25 16:40:00,7.25,14,5,3,1,9,Potential Loyalists
10026,56.95,2,11,2011-06-17 10:31:00,2011-07-26 15:50:00,28.48,137,3,1,2,6,At Risk
10027,188.38,4,68,2010-02-18 11:24:00,2011-07-25 10:14:00,47.1,138,3,4,4,11,Loyal Customers
10028,132.74,5,53,2009-12-22 09:48:00,2011-11-29 20:22:00,26.55,10,5,5,3,13,Champions
10029,91.83,5,33,2009-12-03 11:21:00,2011-08-03 13:57:00,18.37,129,3,5,3,11,Loyal Customers
10030,314.61,2,91,2010-11-12 09:55:00,2011-01-28 13:43:00,157.3,316,2,1,5,8,Potential Loyalists
10031,1.65,1,1,2010-11-24 12:00:00,2010-11-24 12:00:00,1.65,381,1,1,1,3,Lost
